PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;OPLEIDINGSFASE ACTUEEL;SOORT DIPLOMA;2012 MAN;2012 VROUW;2013 MAN;2013 VROUW;2014 MAN;2014 VROUW;2015 MAN;2015 VROUW;2016 MAN;2016 VROUW
Gelderland;200;APELDOORN;WO kleine univ.;21QO;Theologische Universiteit Apeldoorn;taal en cultuur;n.v.t. (taal en cultuur);56109;B Theologie;voltijd onderwijs;bachelor;wo bachelor;17;2;12;2;12;1;7;5;17;2
Gelderland;200;APELDOORN;WO kleine univ.;21QO;Theologische Universiteit Apeldoorn;taal en cultuur;n.v.t. (taal en cultuur);60257;M Theologie;voltijd onderwijs;master;wo master;3;1;6;1;12;0;14;1;6;0
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);50645;B Bedrijfskunde;voltijd onderwijs;bachelor;wo bachelor;86;75;113;69;116;79;94;72;126;96
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);50950;B Economie en Bedrijfseconomie;voltijd onderwijs;bachelor;wo bachelor;43;14;41;34;62;21;56;23;72;27
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);60644;M Business Administration;voltijd onderwijs;master;wo master;3;4;129;105;118;125;92;99;85;96
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);66401;M Economics;voltijd onderwijs;master;wo master;44;24;53;34;54;31;66;29;76;46
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);66834;M Bedrijfskunde;voltijd onderwijs;master;wo master;144;126;0;0;0;0;0;0;0;0
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);50035;B Culturele Antropologie en Ontwikkelingssociologie;voltijd onderwijs;bachelor;wo bachelor;8;40;8;27;8;49;6;39;8;34
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56601;B Sociologie;voltijd onderwijs;bachelor;wo bachelor;18;16;12;17;12;21;8;29;11;30
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56604;B Psychologie;voltijd onderwijs;bachelor;wo bachelor;65;285;80;283;65;281;54;244;54;231
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56606;B Politicologie;voltijd onderwijs;bachelor;wo bachelor;34;23;30;27;40;25;30;16;43;20
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56607;B Pedagogische Wetenschappen;voltijd onderwijs;bachelor;wo bachelor;6;224;9;209;4;173;4;183;3;151
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56615;B Communicatiewetenschap;voltijd onderwijs;bachelor;wo bachelor;28;51;20;28;31;43;17;47;17;37
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56627;B Bestuurskunde;voltijd onderwijs;bachelor;wo bachelor;21;17;21;24;22;21;26;24;27;17
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56947;B Geografie, Planologie en Milieu;voltijd onderwijs;bachelor;wo bachelor;37;25;45;14;41;15;38;25;34;14
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60132;M Social and Cultural Science: Comparative Research on Societies (research);voltijd onderwijs;master;wo master;0;7;5;5;6;5;2;4;8;17
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60203;M Political Science;voltijd onderwijs;master;wo master;1;0;25;11;27;14;15;20;29;17
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60253;M Anthropology and Development Studies;voltijd onderwijs;master;wo master;6;23;1;15;5;17;7;22;2;11
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60260;M Psychologie;voltijd onderwijs;master;wo master;71;255;40;210;43;240;59;250;56;224
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60266;M Behavioural Science (research);voltijd onderwijs;master;wo master;5;31;9;24;6;32;11;15;12;26
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60466;M Human Geography;duaal onderwijs;master;wo master;0;0;1;0;1;0;0;0;2;0
